"U_Pr_Nr";"Navn_Inds";"skib";"Inst";"Dato_inds";"Lok_omr01";"lokalitet_vanda";"lok_pos_lat";"lok_pos_lon";"max_Dyb";"Dyb_Str_m";"Vwf_mL";"vandsoejllagd";"Dyb_lagd01";"dato_80C";"Temp_Inds";"Bemaerkn";"MST.nummer";"MST.n_Dinds"
"217";"MST0425";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-08-26";"VENKBH431";"97200002";55.862;12.75;49;1;"1700";"ja";"11";"2019-09-02";19;NA;"MST0425";"MST0425_2019-08-26"
"218";"MST0449";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-08-26";"VENKBH431";"97200002";55.862;12.75;49;1;"1700";"ja";"11";"2019-09-02";19;NA;"MST0449";"MST0449_2019-08-26"
"219";"MST0362";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-08-27";"GnibenVSJ20925";"94300001";56.1315;11.1501361111111;48.4;1;"1800";"ja";"15";"2019-09-02";18.9;NA;"MST0362";"MST0362_2019-08-27"
"220";"MST0393";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-08-27";"GnibenVSJ20925";"94300001";56.1315;11.1501361111111;48.4;1;"1600";"ja";"15";"2019-09-02";18.9;NA;"MST0393";"MST0393_2019-08-27"
"221";"MST0450";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-08-27";"GnibenVSJ20925";"94300001";56.1315;11.1501361111111;48.4;1;"1600";"ja";"15";"2019-09-02";18.9;NA;"MST0450";"MST0450_2019-08-27"
"222";"MST0458";"ALKRI_PHELD";"DAPHNE";"MST_FYN";"2019-08-28";"DMU444Arkona";"99000052";54.9996666666667;13.2833611111111;46.6;1;"1450";"ja";"8";"2019-09-02";21.2;NA;"MST0458";"MST0458_2019-08-28"
"223";"MST0471";"ALKRI_PHELD";"DAPHNE";"MST_FYN";"2019-08-28";"DMU444Arkona";"99000052";54.9996666666667;13.2833611111111;46.6;1;"1450";"ja";"8";"2019-09-02";21.2;NA;"MST0471";"MST0471_2019-08-28"
"224";"MST0497";"ALKRI_PHELD";"DAPHNE";"MST_FYN";"2019-08-28";"DMU444Arkona";"99000052";54.9996666666667;13.2833611111111;46.6;1;"1450";"ja";"8";"2019-09-02";21.2;NA;"MST0497";"MST0497_2019-08-28"
"225";"MST0272";"JAROB_20629477";"LIVII";"Sydjylland";"2019-03-21";"FFSB0011SoenderborgBugt";"95700008";54.8372666666667;9.81814166666667;29.7;29;"1400";"ja";"26";"2019-03-22";4.8;NA;"MST0272";"MST0272_2019-03-21"
"226";"MST0275";"JAROB_20629477";"LIVII";"Sydjylland";"2019-03-21";"FFSB0011SoenderborgBugt";"95700008";54.8372666666667;9.81814166666667;29.7;29;"1700";"ja";"26";"2019-03-22";4.8;NA;"MST0275";"MST0275_2019-03-21"
"227";"MST0300";"JAROB_20629477";"LIVII";"Sydjylland";"2019-03-21";"FFSB0011SoenderborgBugt";"95700008";54.8372666666667;9.81814166666667;29.7;29;"1450";"ja";"26";"2019-03-22";4.8;NA;"MST0300";"MST0300_2019-03-21"
"228";"MST0491";"JAROBjaneRobertsen";"LIVII";"MSTFYN";"2019-08-26";"FYN6300043";"95600002";54.9979333333333;10.1670388888889;348;1;"1700";"ja";"5,6 - 12,0 - 15,2";NA;19.68;NA;"MST0491";"MST0491_2019-08-26"
"229";"MST0502";"JAROBjaneRobertsen";"LIVII";"MSTFYN";"2019-08-26";"FYN6300043";"95600002";54.9979333333333;10.1670388888889;348;1;"1700";"ja";"5,6 - 12,0 - 15,2";NA;19.68;NA;"MST0502";"MST0502_2019-08-26"
"230";"MST0517";"JAROBjaneRobertsen";"LIVII";"MSTFYN";"2019-08-26";"FYN6300043";"95600002";54.9979333333333;10.1670388888889;348;1;"1750";"ja";"5,6 - 12,0 - 15,2";NA;19.68;NA;"MST0517";"MST0517_2019-08-26"
"231";"MST0169";"OLBPO";"Belone";"MST_FYN";"2019-09-02";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;9.4;1;"1000";"nej";NA;"2019-09-02";18.6;NA;"MST0169";"MST0169_2019-09-02"
"232";"MST0188";"OLBPO";"Belone";"MST_FYN";"2019-09-02";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;9.4;1;"1000";"nej";NA;"2019-09-02";18.6;NA;"MST0188";"MST0188_2019-09-02"
"233";"MST0520";"OLBPO";"Belone";"MST_FYN";"2019-09-02";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;9.4;1;"1050";"nej";NA;"2019-09-02";18.6;NA;"MST0520";"MST0520_2019-09-02"
"234";"MST0292";"OleBlohmPoulsen";"Belone";"Fyn";"2019-05-27";"OdenseFjord";"94230001";55.4782666666667;10.5169111111111;10.2;1;"950";"nej";NA;"2019-05-27";13.83;NA;"MST0292";"MST0292_2019-05-27"
"235";"MST0201";"OleBlohmPoulsen";"Belone";"Fyn";"2019-05-27";"OdenseFjord";"94230001";55.4782666666667;10.5169111111111;10.2;1;"950";"nej";NA;"2019-05-27";13.83;NA;"MST0201";"MST0201_2019-05-27"
"236";"MST0200";"OleBlohmPoulsen";"Belone";"Fyn";"2019-05-27";"OdenseFjord";"94230001";55.4782666666667;10.5169111111111;10.2;1;"950";"nej";NA;"2019-05-27";13.83;NA;"MST0200";"MST0200_2019-05-27"
"237";"MST0486";"JettePoulsenEngholm";"Alpina";"Midtjylland";"2019-06-12";"KrikVig_NissumBredning_Limfjord";"93770056";56.7090333333333;8.26817222222222;0.9;0.8;"480";"nej";"na";"2019-06-14";14.3;NA;"MST0486";"MST0486_2019-06-12"
"238";"MST0562";"JettePoulsenEngholm";"Alpina";"Midtjylland";"2019-06-12";"KrikVig_NissumBredning_Limfjord";"93770056";56.7090333333333;8.26817222222222;0.9;0.8;"590";"nej";"na";"2019-06-14";14.3;NA;"MST0562";"MST0562_2019-06-12"
"239";"MST0556";"JettePoulsenEngholm";"Alpina";"Midtjylland";"2019-06-12";"KrikVig_NissumBredning_Limfjord";"93770056";56.7090333333333;8.26817222222222;0.9;0.8;"590";"nej";"na";"2019-06-14";14.3;NA;"MST0556";"MST0556_2019-06-12"
"240";"MST0453";"JettePoulsenEngholm";"Penelope";"Midtjylland";"2019-05-09";"RKB1_91320001_RingkoebingFjord";"91320001";56.0778333333333;8.21679444444444;3.3;1;"230";"nej";"na";"2019-05-22";10.4;NA;"MST0453";"MST0453_2019-05-09"
"241";"MST0457";"JettePoulsenEngholm";"Penelope";"Midtjylland";"2019-05-09";"RKB1_91320001_RingkoebingFjord";"91320001";56.0778333333333;8.21679444444444;3.3;1;"190";"nej";"na";"2019-05-22";10.4;NA;"MST0457";"MST0457_2019-05-09"
"242";"MST0496";"JettePoulsenEngholm";"Penelope";"Midtjylland";"2019-05-09";"RKB1_91320001_RingkoebingFjord";"91320001";56.0778333333333;8.21679444444444;3.3;1;"180";"nej";"na";"2019-05-22";10.4;NA;"MST0496";"MST0496_2019-05-09"
"243";"MST0379";"JettePoulsenEngholm";"Penelope";"Midtjylland";"2019-08-07";"RKB1_91320001_RingkoebingFjord";"91320001";56.0778333333333;8.21679444444444;3.3;1;"80";"nej";"na";"2019-08-23";20.1;NA;"MST0379";"MST0379_2019-08-07"
"244";"MST0381";"JettePoulsenEngholm";"Penelope";"Midtjylland";"2019-08-07";"RKB1_91320001_RingkoebingFjord";"91320001";56.0778333333333;8.21679444444444;3.3;1;"75";"nej";"na";"2019-08-23";20.1;NA;"MST0381";"MST0381_2019-08-07"
"245";"MST0559";"JettePoulsenEngholm";"Penelope";"Midtjylland";"2019-08-07";"RKB1_91320001_RingkoebingFjord";"91320001";56.0778333333333;8.21679444444444;3.3;1;"70";"nej";"na";"2019-08-23";20.1;NA;"MST0559";"MST0559_2019-08-07"
"246";"MST0290";"SvendaageBendtsen";"MagretheGaardbo";"Nordjylland";"2019-06-28";"HirtshalsNOR7715";"92200001";57.6078333333333;9.90025555555555;19;1;"1500";"nej";"na";"2019-07-03";16.1;NA;"MST0290";"MST0290_2019-06-28"
"247";"MST0265";"SvendaageBendtsen";"MagretheGaardbo";"Nordjylland";"2019-06-28";"HirtshalsNOR7715";"92200001";57.6078333333333;9.90025555555555;19;1;"1600";"nej";"na";"2019-07-03";16.1;NA;"MST0265";"MST0265_2019-06-28"
"248";"MST0129";"SvendaageBendtsen";"MagretheGaardbo";"Nordjylland";"2019-06-28";"HirtshalsNOR7715";"92200001";57.6078333333333;9.90025555555555;19;1;"1500";"nej";"na";"2019-07-03";16.1;NA;"MST0129";"MST0129_2019-06-28"
"249";"MST0295";"SvendaageBendtsen";"Pingo";"Nordjylland";"2019-07-08";"KragskovRevSyd";"93920064";57.5407666666667;10.4687833333333;4.5;1;"1500";"nej";"na";"2019-07-15";15.8;"Prøven nedkølet under transport (fra 15,8°C til 12,5°C)";"MST0295";"MST0295_2019-07-08"
"250";"MST0277";"SvendaageBendtsen";"Pingo";"Nordjylland";"2019-07-08";"KragskovRevSyd";"93920064";57.5407666666667;10.4687833333333;4.5;1;"1500";"nej";"na";"2019-07-15";15.8;"Prøven nedkølet under transport (fra 15,8°C til 12,5°C)";"MST0277";"MST0277_2019-07-08"
"251";"MST0285";"SvendaageBendtsen";"Pingo";"Nordjylland";"2019-07-08";"KragskovRevSyd";"93920064";57.5407666666667;10.4687833333333;4.5;1;"1500";"nej";"na";"2019-07-15";15.8;"Prøven nedkølet under transport (fra 15,8°C til 12,5°C)";"MST0285";"MST0285_2019-07-08"
"252";"MST0429";"SvendaageBendtsen";"MagretheGaardbo";"Nordjylland";"2019-09-24";"HirtshalsNOR7715";"92200001";57.6078333333333;9.90025555555555;18;1;"1500";"nej";"na";"2019-09-30";14.5;NA;"MST0429";"MST0429_2019-09-24"
"253";"MST0413";"SvendaageBendtsen";"MagretheGaardbo";"Nordjylland";"2019-09-24";"HirtshalsNOR7715";"92200001";57.6078333333333;9.90025555555555;18;1;"1500";"nej";"na";"2019-09-30";14.5;NA;"MST0413";"MST0413_2019-09-24"
"254";"MST0430";"SvendaageBendtsen";"MagretheGaardbo";"Nordjylland";"2019-09-24";"HirtshalsNOR7715";"92200001";57.6078333333333;9.90025555555555;18;1;"1500";"nej";"na";"2019-09-30";14.5;NA;"MST0430";"MST0430_2019-09-24"
"255";"MST0560";"amlin";"ABRA";"Storstroem";"2019-09-24";"0401011FemernbaeltVest";"98210012";54.7346166666667;11.0846805555556;5.2;4.2;"1000";"nej";"na";"2019-09-25";16;NA;"MST0560";"MST0560_2019-09-24"
"256";"MST0417";"amlin";"ABRA";"Storstroem";"2019-09-24";"0401011FemernbaeltVest";"98210012";54.7346166666667;11.0846805555556;5.2;4.2;"1000";"nej";"na";"2019-09-25";16;NA;"MST0417";"MST0417_2019-09-24"
"257";"MST0509";"amlin";"ABRA";"Storstroem";"2019-09-24";"0401011FemernbaeltVest";"98210012";54.7346166666667;11.0846805555556;5.2;4.2;"1350";"nej";"na";"2019-09-25";16;NA;"MST0509";"MST0509_2019-09-24"
"258";"MST0382";"amlin";"ABRA";"Storstroem";"2019-08-14";"1001027Hovedskov";"99210007";54.74;12.0857527777778;10.6;9.6;"1250";"nej";"na";"2019-08-15";17;NA;"MST0382";"MST0382_2019-08-14"
"259";"MST0368";"amlin";"ABRA";"Storstroem";"2019-08-14";"1001027Hovedskov";"99210007";54.74;12.0857527777778;10.6;9.6;"1250";"nej";"na";"2019-08-15";17;NA;"MST0368";"MST0368_2019-08-14"
"260";"MST0367";"amlin";"ABRA";"Storstroem";"2019-08-14";"1001027Hovedskov";"99210007";54.74;12.0857527777778;10.6;9.6;"1300";"nej";"na";"2019-08-15";17;NA;"MST0367";"MST0367_2019-08-14"
"261";"MST0461";"amlin";"Graasaelen";"Storstroem";"2019-06-27";"0101142EnoeSyd";"96220363";55.16155;11.6513194444444;4.8;3;"1350";"nej";"na";"2019-07-01";18.98;NA;"MST0461";"MST0461_2019-06-27"
"262";"MST0567";"amlin";"Graasaelen";"Storstroem";"2019-06-27";"0101142EnoeSyd";"96220363";55.16155;11.6513194444444;4.8;3;"1150";"nej";"na";"2019-07-01";18.98;NA;"MST0567";"MST0567_2019-06-27"
"263";"MST0468";"amlin";"Graasaelen";"Storstroem";"2019-06-27";"0101142EnoeSyd";"96220363";55.16155;11.6513194444444;4.8;3;"1200";"nej";"na";"2019-07-01";18.98;NA;"MST0468";"MST0468_2019-06-27"
"264";"MST0484";"SteenKrogsboellstkro";"aaboen";"MSTStorstroem";"2019-05-01";"BRKBMPK2_910Bornholmaabnedel";"99000049";55.25;15.59;89;1;"1200";"ja";"55";"2019-05-13";6.5;"Fryser var uden strøm på hjem-sejladsen. Temperaturen steg fra -18°C til -4°C i ca. 3 timer.";"MST0484";"MST0484_2019-05-01"
"265";"MST0516";"SteenKrogsboellstkro";"aaboen";"MSTStorstroem";"2019-05-01";"BRKBMPK2_910Bornholmaabnedel";"99000049";55.25;15.59;89;1;"1550";"ja";"55";"2019-05-13";6.5;"Fryser var uden strøm på hjem-sejladsen. Temperaturen steg fra -18°C til -4°C i ca. 3 timer.";"MST0516";"MST0516_2019-05-01"
"266";"MST0483";"SteenKrogsboellstkro";"aaboen";"MSTStorstroem";"2019-05-01";"BRKBMPK2_910Bornholmaabnedel";"99000049";55.25;15.59;89;1;"1500";"ja";"55";"2019-05-13";6.5;"Fryser var uden strøm på hjem-sejladsen. Temperaturen steg fra -18°C til -4°C i ca. 3 timer.";"MST0483";"MST0483_2019-05-01"
"267";"MST0521";"SteenKrogsboellstkro";"aaboen";"MSTStorstroem";"2019-08-07";"BRKBMPK2_910Bornholmaabnedel";"99000049";55.25;15.59;89;1;"1400";"ja";"60";"2019-09-03";19.7;NA;"MST0521";"MST0521_2019-08-07"
"268";"MST0042";"SteenKrogsboellstkro";"aaboen";"MSTStorstroem";"2019-08-07";"BRKBMPK2_910Bornholmaabnedel";"99000049";55.25;15.59;89;1;"1500";"ja";"60";"2019-09-03";19.7;NA;"MST0042";"MST0042_2019-08-07"
"269";"MST0264";"SteenKrogsboellstkro";"aaboen";"MSTStorstroem";"2019-08-07";"BRKBMPK2_910Bornholmaabnedel";"99000049";55.25;15.59;89;1;"1450";"ja";"60";"2019-09-03";19.7;NA;"MST0264";"MST0264_2019-08-07"
"270";"MST0441";"LASOJ";"Fucus";"Sydjylland";"2019-08-27";"SoenderhoRIB1510007";"91500007";55.3376;8.35004444444444;6.2;1;"900";"nej";NA;"2019-08-27";20;NA;"MST0441";"MST0441_2019-08-27"
"271";"MST0498";"LASOJ";"Fucus";"Sydjylland";"2019-08-27";"SoenderhoRIB1510007";"91500007";55.3376;8.35004444444444;6.2;1;"900";"nej";NA;"2019-08-27";20;NA;"MST0498";"MST0498_2019-08-27"
"272";"MST0492";"LASOJ";"Fucus";"Sydjylland";"2019-08-27";"SoenderhoRIB1510007";"91500007";55.3376;8.35004444444444;6.2;1;"900";"nej";NA;"2019-08-27";20;NA;"MST0492";"MST0492_2019-08-27"
"273";"MST0470";"LASOJ";"Haig";"Sydjylland";"2019-05-14";"SoenderhoRIB1510007";"91500007";55.3375;8.35011666666667;6;1;"1000";"nej";NA;"2019-05-15";11;NA;"MST0470";"MST0470_2019-05-14"
"274";"MST0414";"LASOJ";"Haig";"Sydjylland";"2019-05-14";"SoenderhoRIB1510007";"91500007";55.3375;8.35011666666667;6;1;"1200";"nej";NA;"2019-05-15";11;NA;"MST0414";"MST0414_2019-05-14"
"275";"MST0493";"LASOJ";"Haig";"Sydjylland";"2019-05-14";"SoenderhoRIB1510007";"91500007";55.3375;8.35011666666667;6;1;"1150";"nej";NA;"2019-05-15";11;NA;"MST0493";"MST0493_2019-05-14"
"276";"MST0505";"LASOJ";"Slikkrebsen";"Sydjylland";"2019-04-02";"LISD0027";"91650035";55.0933;8.56669722222222;2.9;1;"400";"nej";NA;"2019-04-02";8.3;NA;"MST0505";"MST0505_2019-04-02"
"277";"MST0489";"LASOJ";"Slikkrebsen";"Sydjylland";"2019-04-02";"LISD0027";"91650035";55.0933;8.56669722222222;2.9;1;"400";"nej";NA;"2019-04-02";8.3;NA;"MST0489";"MST0489_2019-04-02"
"278";"MST0423";"LASOJ";"Slikkrebsen";"Sydjylland";"2019-04-02";"LISD0027";"91650035";55.0933;8.56669722222222;2.9;1;"450";"nej";NA;"2019-04-02";8.3;NA;"MST0423";"MST0423_2019-04-02"
"279";"MST0269";"GEPED";"Musling";"oestjylland";"2019-03-12";"HevringbugtHB01";"93500119";57.6178166666667;10.5334777777778;12;10.6;"1350";"ja";"8.1999999999999993";"2019-03-14";4.98;NA;"MST0269";"MST0269_2019-03-12"
"280";"MST0254";"GEPED";"Musling";"oestjylland";"2019-03-12";"HevringbugtHB01";"93500119";57.6178166666667;10.5334777777778;12;10.6;"1350";"ja";"8.1999999999999993";"2019-03-14";4.98;NA;"MST0254";"MST0254_2019-03-12"
"281";"MST0239";"GEPED";"Musling";"oestjylland";"2019-03-12";"HevringbugtHB01";"93500119";57.6178166666667;10.5334777777778;12;10.6;"1300";"ja";"8.1999999999999993";"2019-03-14";4.98;NA;"MST0239";"MST0239_2019-03-12"
"282";"MST0153";"GEPED";"Musling";"Nordjylland";"2019-05-13";"LoegstoerbredningVIB3708_1";"93730002";57.9565833333333;9.052075;7.3;1;"1700";"nej";NA;"2019-05-13";10.8;NA;"MST0153";"MST0153_2019-05-13"
"283";"MST0163";"GEPED";"Musling";"Nordjylland";"2019-05-13";"LoegstoerbredningVIB3708_1";"93730002";57.9565833333333;9.052075;7.3;1;"1700";"nej";NA;"2019-05-13";10.8;NA;"MST0163";"MST0163_2019-05-13"
"284";"MST0164";"GEPED";"Musling";"Nordjylland";"2019-05-13";"LoegstoerbredningVIB3708_1";"93730002";57.9565833333333;9.052075;7.3;1;"1625";"nej";NA;"2019-05-13";10.8;NA;"MST0164";"MST0164_2019-05-13"
"285";"MST0170";"JOCTH";"Musling";"Midtjylland";"2019-05-14";"SkivefjordVIB3727_1";"93740007";57.370125;9.068025;4.7;1;"1600";"ja";"3.6";"2019-05-14";11;NA;"MST0170";"MST0170_2019-05-14"
"286";"MST0165";"JOCTH";"Musling";"Midtjylland";"2019-05-14";"SkivefjordVIB3727_1";"93740007";57.370125;9.068025;4.7;1;"1400";"ja";"3.6";"2019-05-14";11;NA;"MST0165";"MST0165_2019-05-14"
"287";"MST0166";"JOCTH";"Musling";"Midtjylland";"2019-05-14";"SkivefjordVIB3727_1";"93740007";57.370125;9.068025;4.7;1;"1500";"ja";"3.6";"2019-05-14";11;NA;"MST0166";"MST0166_2019-05-14"
"288";"MST0172";"JOCTH";"Musling";"Nordjylland";"2019-05-21";"aalborgbugtNOR409";"93000005";56.8566666666667;10.7847222222222;14.7;1;"1500";"ja";"7.5";"2019-05-21";12.3;NA;"MST0172";"MST0172_2019-05-21"
"289";"MST0173";"JOCTH";"Musling";"Nordjylland";"2019-05-21";"aalborgbugtNOR409";"93000005";56.8566666666667;10.7847222222222;14.7;1;"1500";"ja";"7.5";"2019-05-21";12.3;NA;"MST0173";"MST0173_2019-05-21"
"290";"MST0175";"JOCTH";"Musling";"Nordjylland";"2019-05-21";"aalborgbugtNOR409";"93000005";56.8566666666667;10.7847222222222;14.7;1;"1500";"ja";"7.5";"2019-05-21";12.3;NA;"MST0175";"MST0175_2019-05-21"
"291";"MST0185";"GEPED";"Musling";"Nordjylland";"2019-05-22";"MariagerfjordNOR5503";"93610032";56.66285;9.96779444444444;27;1;"1350";"ja";"4,5 og 14";"2019-05-28";14.07;NA;"MST0185";"MST0185_2019-05-22"
"292";"MST0168";"GEPED";"Musling";"Nordjylland";"2019-05-22";"MariagerfjordNOR5503";"93610032";56.66285;9.96779444444444;27;1;"1350";"ja";"4,5 og 14";"2019-05-22";14.07;NA;"MST0168";"MST0168_2019-05-22"
"293";"MST0171";"GEPED";"Musling";"Nordjylland";"2019-05-22";"MariagerfjordNOR5503";"93610032";56.66285;9.96779444444444;27;1;"1350";"ja";"4,5 og 14";"2019-05-22";14.07;NA;"MST0171";"MST0171_2019-05-22"
"294";"MST0469";"JOCTH";"Musling";"Midtjylland";"2019-08-29";"SkivefjordVIB3727_1";"93740007";57.3698666666667;9.06805555555556;4.7;1;"800";"ja";"2.2000000000000002";"2019-08-29";21.5;NA;"MST0469";"MST0469_2019-08-29"
"295";"MST0181";"JOCTH";"Musling";"Midtjylland";"2019-08-29";"SkivefjordVIB3727_1";"93740007";57.3698666666667;9.06805555555556;4.7;1;"700";"ja";"2.2000000000000002";"2019-08-29";21.5;NA;"MST0181";"MST0181_2019-08-29"
"296";"MST0527";"JOCTH";"Musling";"Midtjylland";"2019-08-29";"SkivefjordVIB3727_1";"93740007";57.3698666666667;9.06805555555556;4.7;1;"700";"ja";"2.2000000000000002";"2019-08-29";21.5;NA;"MST0527";"MST0527_2019-08-29"
"297";"MST0475";"JOCTH";"Musling";"Nordjylland";"2019-08-28";"LoegstoerbredningVIB3708_1";"93730002";57.955;9.05194444444444;7;1;"1000";"nej";NA;"2019-08-29";20.3;NA;"MST0475";"MST0475_2019-08-28"
"298";"MST0474";"JOCTH";"Musling";"Nordjylland";"2019-08-28";"LoegstoerbredningVIB3708_1";"93730002";57.955;9.05194444444444;7;1;"900";"nej";NA;"2019-08-29";20.3;NA;"MST0474";"MST0474_2019-08-28"
"299";"MST0473";"JOCTH";"Musling";"Nordjylland";"2019-08-28";"LoegstoerbredningVIB3708_1";"93730002";57.955;9.05194444444444;7;1;"1000";"nej";NA;"2019-08-29";20.3;NA;"MST0473";"MST0473_2019-08-28"
"300";"MST0524";"JOCTH";"Musling";"Nordjylland";"2019-08-27";"MariagerfjordNOR5503";"93610032";56.6616666666667;9.96777777777778;27;1;"1700";"ja";"Flere lag";"2019-08-29";19.8;NA;"MST0524";"MST0524_2019-08-27"
"301";"MST0518";"JOCTH";"Musling";"Nordjylland";"2019-08-27";"MariagerfjordNOR5503";"93610032";56.6616666666667;9.96777777777778;27;1;"1600";"ja";"Flere lag";"2019-08-29";19.8;NA;"MST0518";"MST0518_2019-08-27"
"302";"MST0481";"JOCTH";"Musling";"Nordjylland";"2019-08-27";"MariagerfjordNOR5503";"93610032";56.6616666666667;9.96777777777778;27;1;"1700";"ja";"Flere lag";"2019-08-29";19.8;NA;"MST0481";"MST0481_2019-08-27"
"303";"MST0419";"JOCTH";"Musling";"Nordjylland";"2019-08-26";"aalborgbugtNOR409";"93000005";56.85705;10.7846472222222;14;1;"1800";"ja";"2.5";"2019-08-29";17.8;NA;"MST0419";"MST0419_2019-08-26"
"304";"MST0536";"JOCTH";"Musling";"Nordjylland";"2019-08-26";"aalborgbugtNOR409";"93000005";56.85705;10.7846472222222;14;1;"1800";"ja";"2.5";"2019-08-29";17.8;NA;"MST0536";"MST0536_2019-08-26"
"305";"MST0465";"JOCTH";"Musling";"Nordjylland";"2019-08-26";"aalborgbugtNOR409";"93000005";56.85705;10.7846472222222;14;1;"1800";"ja";"2.5";"2019-08-29";17.8;NA;"MST0465";"MST0465_2019-08-26"
"306";"MST0148";"EmilGuddalLarsen";"Dykkerbaad";"Sjaelland";"2019-06-25";"Nivaaoeresund";"97200002";55.93765;12.5168833333333;3.1;2.1;"1700";"nej";"-";"2019-06-28";20;NA;"MST0148";"MST0148_2019-06-25"
"307";"MST0139";"EmilGuddalLarsen";"Dykkerbaad";"Sjaelland";"2019-06-25";"Nivaaoeresund";"97200002";55.93765;12.5168833333333;3.1;2.1;"1700";"nej";"-";"2019-06-28";20;NA;"MST0139";"MST0139_2019-06-25"
"308";"MST0158";"EmilGuddalLarsen";"Dykkerbaad";"Sjaelland";"2019-06-25";"Nivaaoeresund";"97200002";55.93765;12.5168833333333;3.1;2.3;"1650";"nej";"-";"2019-06-28";20;NA;"MST0158";"MST0158_2019-06-25"
"309";"MST0144";"EmilGuddalLarsen";"Capella";"Sjaelland";"2019-09-05";"RoskildefjordRoskildebredning";"93220011";55.713;12.04;5;1;"1600";"nej";"-";"2019-09-05";18.6;NA;"MST0144";"MST0144_2019-09-05"
"310";"MST0440";"EmilGuddalLarsen";"Capella";"Sjaelland";"2019-09-05";"RoskildefjordRoskildebredning";"93220011";55.713;12.04;5;1;"1600";"nej";"-";"2019-09-05";18.6;NA;"MST0440";"MST0440_2019-09-05"
"311";"MST0479";"EmilGuddalLarsen";"Capella";"Sjaelland";"2019-09-05";"RoskildefjordRoskildebredning";"93220011";55.713;12.04;5;1;"1600";"nej";"-";"2019-09-05";18.6;NA;"MST0479";"MST0479_2019-09-05"
"312";"MST0476";"EmilGuddalLarsen";"Capella";"Sjaelland";"2019-05-23";"RoskildefjordRoskildebredning";"93220011";55.713;12.04;5;1;"1500";"nej";"-";"2019-05-23";15.33;NA;"MST0476";"MST0476_2019-05-23"
"313";"MST0561";"EmilGuddalLarsen";"Capella";"Sjaelland";"2019-05-23";"RoskildefjordRoskildebredning";"93220011";55.713;12.04;5;1;"1600";"nej";"-";"2019-05-23";15.33;NA;"MST0561";"MST0561_2019-05-23"
"314";"MST0490";"EmilGuddalLarsen";"Capella";"Sjaelland";"2019-05-23";"RoskildefjordRoskildebredning";"93220011";55.713;12.04;5;1;"1600";"nej";"-";"2019-05-23";15.33;NA;"MST0490";"MST0490_2019-05-23"
"315";"MST0548";"JensDeding";"Havana";"MSToestjylland";"2019-06-28";"Tr3Fornaes";"93420310";56.1768333333333;10.9524222222222;10.4;9;"1200";"tempIoverfladen161";NA;NA;15.8;NA;"MST0548";"MST0548_2019-06-28"
"316";"MST0371";"JensDeding";"Havana";"MSToestjylland";"2019-06-28";"Tr3Fornaes";"93420310";56.1768333333333;10.9524222222222;10.4;9;"1350";NA;NA;NA;15.8;NA;"MST0371";"MST0371_2019-06-28"
"317";"MST0436";"JensDeding";"Havana";"MSToestjylland";"2019-06-28";"Tr3Fornaes";"93420310";56.1768333333333;10.9524222222222;10.4;9;"1100";NA;NA;NA;15.8;NA;"MST0436";"MST0436_2019-06-28"
"318";"MST0189";"JAROB_20629477";"LIVII";"MSToeST";"2019-05-28";"VEJ0006870";"94300001";55.6746;10.0848722222222;20;1;"1300";"ja";"7,7m og 9,3m";"2019-05-28";11.58;NA;"MST0189";"MST0189_2019-05-28"
"319";"MST0190";"JAROB_20629477";"LIVII";"MSToeST";"2019-05-28";"VEJ0006870";"94300001";55.6746;10.0848722222222;20;1;"1200";"ja";"7,7m og 9,3m";"2019-05-28";11.58;NA;"MST0190";"MST0190_2019-05-28"
"320";"MST0204";"JAROB_20629477";"LIVII";"MSToeST";"2019-05-28";"VEJ0006870";"94300001";55.6746;10.0848722222222;20;1;"1200";"ja";"7,7m og 9,3m";"2019-05-28";11.58;NA;"MST0204";"MST0204_2019-05-28"
"321";"MST0427";"JAROBjaneRobertsen";"LIVII";"MST_oeST";"2019-08-29";"VEJ0006870";"94300001";55.6737194444444;10.053805;20.2;1;"1650";"ja";"10";NA;19.22;NA;"MST0427";"MST0427_2019-08-29"
"322";"MST0456";"JAROBjaneRobertsen";"LIVII";"MST_oeST";"2019-08-29";"VEJ0006870";"94300001";55.6737194444444;10.053805;20.2;1;"1600";"ja";"10";NA;19.22;NA;"MST0456";"MST0456_2019-08-29"
"323";"MST0463";"JAROBjaneRobertsen";"LIVII";"MST_oeST";"2019-08-29";"VEJ0006870";"94300001";55.6737194444444;10.053805;20.2;1;"1500";"ja";"10";NA;19.22;NA;"MST0463";"MST0463_2019-08-29"
"324";"MST0274";"JAROB_20629477";"LIVII";"Sydjylland";"2019-03-14";"VF_VejleFjord";"95130028";55.7044722222222;9.67034444444444;7.8;7;"1350";"ja";"4.6";"2019-03-15";5.26;NA;"MST0274";"MST0274_2019-03-14"
