Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
4087.077,292.9762,0
4111.419,364.759,0
4256.202,402.7939,0
3953.457,278.4619,0
3941.491,344.3877,0
4099.746,334.5524,0
4282.382,356.3425,0
4121.184,260.7683,0
3953.39,315.0044,0
4223.595,255.4204,0
4223.864,328.3511,0
4232.811,329.426,0
4156.222,371.9595,0
4196.114,359.595,0
4163.196,344.1816,0
4156.591,298.0835,0
4000.471,381.303,0
4195.981,376.7068,0
4244.76,328.9211,0
4194.629,315.9834,0
4155.451,221.2566,0
4391.367,282.2483,0
4170.344,341.8713,0
4243.44,225.4883,0
4038.645,334.2997,0
4075.063,353.7822,0
4136.752,364.3396,0
3825.853,265.4497,0
4040.279,281.4376,0
3926.36,342.7242,0
3802.236,293.8888,0
4153.154,326.1133,0
4011.296,412.7449,0
4146.427,355.2756,0
4081.756,232.6184,0
4366.03,262.667,0
3930.775,210.1477,0
4142.021,244.8645,0
4039.89,337.8223,0
3957.712,337.2291,0
4265.406,285.4312,0
4083.969,344.4498,0
4044.477,293.2115,0
3981.132,380.9674,0
4272.735,384.6868,0
3943.327,401.813,0
4131.546,313.9116,0
4043.712,275.7476,0
4260.89,324.0974,0
4080.259,271.4867,0
4139.667,253.3875,0
4021.932,423.5623,0
4156.865,277.928,0
4080.057,339.8062,0
4189.236,303.8833,0
4199.161,259.0828,0
4074.959,320.7253,0
4175.862,269.7432,0
4176.22,342.5708,0
4055.006,304.9963,0
4223.3,175.7158,0
4128.659,257.5088,0
4043.676,337.5575,0
4059.739,305.1328,0
4128.271,390.4971,0
3928.282,338.0464,0
4107.815,231.2566,0
4048.562,331.7998,0
3743.729,256.0845,0
4251.623,382.9146,0
4272.61,295.7275,0
4141.407,283.8184,0
4119.346,429.0122,0
4119.517,351.8865,0
4098.427,323.906,0
4204.856,331.1223,0
3992.389,365.1637,0
4076.951,336.2637,0
4039.539,336.8524,0
4211.638,275.5242,0
4071.157,346.8857,0
4077.967,430.6244,0
4007.174,281.11,0
4165.89,289.0483,0
4137.261,340.9829,0
4036.717,261.4467,0
4051.155,333.6027,0
4211.968,288.6074,0
4238.351,200.1516,0
4060.508,235.1049,0
4189.249,425.9038,0
4197.316,358.8037,0
4065.388,228.0906,0
4054.564,396.1755,0
4285.575,366.4541,0
4077.209,306.8867,0
3922.257,323.9095,0
4042.955,287.1235,0
4157.69,237.5076,0
4124.252,263.3739,0
4096.864,295.2511,0
4073.633,212.9506,0
4131.021,244.3339,0
3933.818,262.5961,0
3970.967,311.8101,0
4183.654,391.3186,0
4019.601,312.0178,0
4169.913,296.3145,0
4246.8,286.6221,0
3888.707,254.9152,0
4163.491,432.5334,0
4224.294,239.9819,0
4175.541,334.2534,0
4052.535,296.8462,0
4212.555,254.8271,0
4294.935,281.2588,0
4034.965,265.0433,0
4116.615,312.8506,0
4321.76,269.1423,0
3915.964,329.7053,0
3891.16,306.2222,0
4216.662,287.9885,0
4150.178,240.7385,0
4392.385,311.2942,0
4201.4,321.6472,0
4006.143,354.5264,0
4301.894,236.2969,0
4193.824,358.0481,0
4153.918,282.5137,0
4349.868,258.8037,0
4147.836,367.5203,0
4162.35,357.2112,0
4125.89,306.292,0
4083.071,246.3059,0
4139.395,330.8818,0
4172.843,279.2012,0
4138.044,311.3513,0
3953.345,263.127,0
4085.336,330.0966,0
4205.196,319.9412,0
4171.405,357.2305,0
3747.047,327.7571,0
4022.909,328.9406,0
4196.658,205.583,0
4060.918,260.6935,0
4107.325,377.4521,0
4150.515,326.5061,0
4123.149,323.9404,0
3956.492,341.4934,0
4266.306,259.5784,0
4208.052,281.9548,0
4161.565,216.3137,0
3998.044,326.8152,0
4264.825,351.8618,0
3637.185,347.7678,0
4010.736,387.111,0
3895.266,316.1097,0
3983.35,289.4432,0
4096.332,344.2892,0
4050.771,314.896,0
3971.501,363.8988,0
4211.75,301.6323,0
3918.893,322.2195,0
4201.651,327.4656,0
4281.974,288.1531,0
4222.463,370.655,0
3932.778,322.6093,0
4055.79,348.6057,0
4101.91,335.5327,0
4199.11,307.1653,0
4264.024,337.259,0
